time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
0.1,4.00301353505759,2.45954148194105,2.255311553312,3.05279004854728,3.81911581827901,1,0.472716261779337,-0.349065850398866,0,-2.0943951023932,0,0.527283738220663,-0.349065850398866,-2.0943951023932,99.9945640563965,-49.9991297721863,-49.9693691730499
0.2,2.29137775185785,1.50531629337011,1.63668507317865,1.77962148951812,2.01019617976558,1,0.914579168042858,-0.349065850398866,-0.02267939117084,-2.0943951023932,-0.033934009819685,0.085420831957142,-0.326386459228026,-2.06046109257351,99.9910175800324,-49.9998390674591,-49.9999940395355
0.3,0.547808222192994,0.534341182509538,1.00598744927515,0.494059646346999,0.176014323686817,1,1.0205873297641,-0.349065850398866,-0.043251954208784,-2.0943951023932,-0.09526916889642,-0.020587329764102,-0.305813896190082,-1.99912593349678,35.4659378528595,-49.9989628791809,-49.9998241662979
0.4,-1.20328468902662,-0.443359156610969,0.367335815233139,-0.788607248516545,-1.6560322870744,1,0.993103723622254,-0.349065850398866,-0.064357818463366,-2.0943951023932,-0.176203898202848,0.006896276377746,-0.2847080319355,-1.91819120419035,10.8854919672012,-49.990913271904,-49.9989897012711
0.5,-2.93731156931337,-1.41768708561077,-0.275093542539208,-2.05319016130223,-3.45861912232679,1,1.02157921396237,-0.349065850398866,-0.084918189613758,-2.0943951023932,-0.269423330326206,-0.021579213962366,-0.264147660785108,-1.82497177206699,24.8925998806953,-49.9792277812958,-49.9956995248795
0.6,-4.62991139700672,-2.37858616986115,-0.917094687803471,-3.28480375495373,-5.20496281012181,1,0.993487344722998,-0.349065850398866,-0.105350139711853,-2.0943951023932,-0.370079711718887,0.006512655277002,-0.243715710687012,-1.72431539067431,14.916929602623,-49.9974697828293,-49.9983489513397
0.7,-6.25735607153073,-3.31615471296735,-1.55446175572883,-4.46906614834929,-6.86927895516653,1,1.00397337062676,-0.349065850398866,-0.125492293629922,-2.0943951023932,-0.475517367165182,-0.003973370626759,-0.223573556768944,-1.61887773522801,24.6415674686432,-49.9636173248291,-49.9935895204544
0.8,-7.79694447356815,-4.22075731506839,-2.18301867336876,-5.59229103805281,-8.4272210142593,1,0.993767846629685,-0.349065850398866,-0.145366281527951,-2.0943951023932,-0.584340522664615,0.006232153370315,-0.203699568870915,-1.51005457972858,21.8188583850861,-49.9985963106155,-49.9966204166412
0.9,-9.22737867966851,-5.08313311876502,-2.79864866039418,-6.64166940050307,-9.85629206864777,1,1.00304570136092,-0.349065850398866,-0.164979525965586,-2.0943951023932,-0.695929697032832,-0.00304570136092,-0.184086324433279,-1.39846540536036,27.4108856916428,-49.9836295843124,-49.9909520149231
1,-10.529115291006,-5.89449944955856,-3.39732329282493,-7.60543815133863,-11.1362218691408,1,0.997528042259887,-0.349065850398866,-0.18428093402365,-2.0943951023932,-0.809873500807081,0.002471957740113,-0.164784916375216,-1.28452160158611,25.6259799003601,-49.9943614006043,-49.9937981367111
1.1,-11.6846853132737,-6.64664961688136,-3.9751309158676,-8.47303333711604,-12.2493022149836,1,1.0055322241728,-0.349065850398866,-0.20327345309688,-2.0943951023932,-0.925951741796992,-0.005532224172805,-0.145792397301986,-1.1684433605962,29.6866625547409,-49.9941289424896,-49.8426645994186
1.2,-12.6789766343743,-7.33204371634389,-4.52830419694695,-9.23522566993526,-13.1806745479532,1,0.997319775207769,-0.349065850398866,-0.221917192288501,-2.0943951023932,-1.04382526902222,0.002680224792231,-0.127148658110365,-1.05056983337097,27.2559374570847,-49.7189313173294,-49.9984562397003
1.3,-13.4994738761753,-7.94389136273394,-5.05324661657392,-9.88423648378818,-13.9185645821275,1,1.00480580221399,-0.349065850398866,-0.24005665424502,-2.0943951023932,-1.16350257921352,-0.004805802213994,-0.109009196153846,-0.930892523179676,31.3778579235077,-49.9856948852539,-49.99178647995
1.4,-14.1364512311564,-8.47622538542005,-5.54655770277265,-10.4138324886329,-14.454459828233,1,1.00251626573028,-0.349065850398866,-0.257964305718793,-2.0943951023932,-1.28471828151935,-0.002516265730278,-0.091101544680073,-0.809676820873849,29.9871474504471,-49.9235838651657,-49.7916013002396
1.5,-14.5831148170668,-8.92396563180193,-6.0050568243307,-10.8193980196516,-14.7832269882699,1,1.00517522982609,-0.349065850398866,-0.275355010336941,-2.0943951023932,-1.40711760582471,-0.005175229826089,-0.073710840061925,-0.687277496568482,31.491482257843,-44.7822451591492,-49.9331265687943
1.6,-14.8356920737004,-9.28297214883549,-6.4258053690661,-11.0979838198867,-14.9031673686197,1,1.00081723171069,-0.349065850398866,-0.289815004076021,-2.0943951023932,-1.53067232506322,-0.000817231710692,-0.059250846322845,-0.563722777329976,30.1908731460571,-34.7926706075668,-46.5916514396668
1.7,-14.8934667650819,-9.55008714582547,-6.80612714553785,-11.2483317491768,-14.8160096643201,1,0.996784859585054,-0.349065850398866,-0.299550615764477,-2.0943951023932,-1.65248600092095,0.003215140414946,-0.049515234634389,-0.441909101472241,30.1228046417236,-26.4663130044937,-27.6726186275482
1.8,-14.7587592162611,-9.72316528190418,-7.14362686006892,-11.2708751755302,-14.5268406793337,1,0.998533576929748,-0.349065850398866,-0.305303566987217,-2.0943951023932,-1.75927277103972,0.001466423070252,-0.043762283411649,-0.335122331353471,30.8027029037476,-26.2984246015549,-20.9030702710152
1.9,-14.4368524844946,-9.8010919670894,-7.43620653549817,-11.1677151711487,-14.0439757430446,1,1.00359109978264,-0.349065850398866,-0.310546197824869,-2.0943951023932,-1.8549040367375,-0.003591099782641,-0.038519652573997,-0.239491065655691,30.7796001434326,-33.0069750547409,3.88146378099918
