step,EvalAverageReward
1000,-158.99548673725286
2000,-166.83261432897626
3000,-166.04874760613637
4000,-154.92201207900857
5000,-168.974978650065
6000,-159.16930668910172
7000,-158.19609738073564
8000,-163.10636775243034
9000,-159.14712008440785
10000,-163.29734415355955
11000,-156.88928760445702
12000,-166.93597904876168
13000,-156.26809269138158
14000,-163.63047401258683
15000,-159.72399310667325
16000,-159.5940909707992
17000,-155.77977707863673
18000,-158.54530313267946
19000,-164.43349637717395
20000,-160.35308356253944
21000,-160.8162783080117
22000,-155.0001824828172
23000,-153.16789166433315
24000,-162.41198738193737
25000,-160.14405125279933
26000,-156.3041483691407
27000,-158.61651796691612
28000,-159.02243517263366
29000,-155.05349755225055
30000,-162.32646568793922
31000,-161.6316480099547
32000,-163.69033777069916
33000,-160.44996612174958
34000,-153.62099945478025
35000,-163.32895554865598
36000,-161.8234389529249
37000,-161.56070930489466
38000,-166.26079671844371
39000,-160.6943143130397
40000,-157.06356897110717
41000,-160.44543761917
42000,-160.45093195738465
43000,-165.3982171860434
44000,-161.15707293278214
45000,-161.62566395315645
46000,-159.56149146262123
47000,-155.49842278111095
48000,-153.52394425094755
49000,-156.44065256999977
50000,-161.86618590701846
51000,-158.31813820484695
52000,-157.5832398569283
53000,-156.63436649582047
54000,-160.3633725063575
55000,-162.02027509492837
56000,-158.3234168488612
57000,-160.80686501383596
58000,-161.62100449508156
59000,-156.7552877127917
60000,-165.7260452674203
61000,-160.33546607201467
62000,-157.80381546984364
63000,-159.81275702470668
64000,-164.70496094147805
65000,-157.21824320546213
66000,-164.32203836281087
67000,-162.11746941185595
68000,-167.64679490215207
69000,-163.6782146635456
70000,-155.4594454362486
71000,-154.11185446158782
72000,-158.60745466909222
73000,-155.89749034401558
74000,-158.66407069681938
75000,-160.8449980556561
76000,-159.57092532431687
77000,-159.32413397738463
78000,-154.20310199061362
79000,-159.13751895553716
80000,-153.5239789454767
81000,-157.33091157168562
82000,-154.06201342650874
83000,-165.19982626536597
84000,-162.27712883514016
85000,-162.6014457234316
86000,-159.9679703488106
87000,-157.05613697464807
88000,-159.71979188651136
89000,-150.71073487418587
90000,-157.61254288501482
91000,-161.62907142324516
92000,-155.36086818992334
93000,-159.02207244814318
94000,-164.85515837773488
95000,-162.91929158089056
96000,-162.12893412145945
97000,-158.21518463062029
98000,-163.29098248966244
99000,-159.3967404811159
100000,-159.04001561136684
101000,-153.1294017679248
102000,-160.9949388104379
103000,-162.1954740146694
104000,-155.6566705076246
105000,-163.88631991783487
106000,-159.48529684248666
107000,-156.14308052014255
108000,-160.0532266632789
109000,-161.80455591540417
110000,-150.91953392051855
111000,-156.6347414094027
112000,-157.57656816736997
113000,-155.14760158001218
114000,-163.3135037062927
115000,-157.11159646887467
116000,-158.7474340355481
117000,-155.03601244345083
118000,-162.81326682909744
119000,-162.19438659154417
120000,-158.38217017479423
121000,-147.1429141237355
122000,-161.28435545030578
123000,-161.51973919996755
124000,-158.22646300557702
125000,-157.8617642444861
126000,-159.37009726816524
127000,-154.9938406741885
128000,-159.48811759629484
129000,-154.09595924648977
130000,-158.44408474204832
131000,-160.17507234308087
132000,-159.79802589239821
133000,-157.06028392651473
134000,-165.19711596613357
135000,-163.03029860297397
136000,-152.6142641972876
137000,-159.32484231011614
138000,-160.95773685792028
139000,-163.5782633568693
140000,-155.58250080910597
141000,-156.6289908806181
142000,-154.3893934705198
143000,-165.23166213506255
144000,-162.65668172676862
145000,-159.10260979287258
146000,-154.97199587670295
147000,-158.43508985601915
148000,-157.95047578454245
149000,-161.3790984704801
150000,-164.04174854690683
151000,-161.93894334673217
152000,-156.7747381353158
153000,-156.18925445718853
154000,-153.38766518754545
155000,-163.29924740673357
156000,-166.884812802363
157000,-155.39197815647805
158000,-161.23863548143194
159000,-152.6734071473034
160000,-160.57778394560142
161000,-165.04829474775423
162000,-153.5965122819869
163000,-160.845782613131
164000,-162.38612472814987
165000,-158.5432573798484
166000,-161.89713683976234
167000,-160.20529951688235
168000,-168.74965367146206
169000,-159.2459536573711
170000,-161.64033044358104
171000,-160.1608755512269
172000,-161.2170527333446
173000,-158.69647674462945
174000,-157.4781822944835
175000,-161.42938025627808
176000,-150.8067971651984
177000,-158.0492216719374
178000,-158.17845972803858
179000,-168.00219507427784
180000,-160.19509158704108
181000,-161.0552582930908
182000,-161.15811193031985
183000,-154.83456236099124
184000,-155.44244959151564
185000,-156.32916553559457
186000,-164.1034718847639
187000,-158.75091394042403
188000,-163.45066255445073
189000,-159.3621239657097
190000,-161.60734917204564
191000,-151.9994942817788
192000,-151.75653200014438
193000,-163.51695646881495
194000,-156.719108869678
195000,-164.708137894247
196000,-158.67669167586104
197000,-152.37467755244396
198000,-166.8060507329419
199000,-162.3476101472633
200000,-160.03866889290688
201000,-155.99036869306585
202000,-156.84111872217017
203000,-160.82066196029393
204000,-155.1259331705275
205000,-148.50367028878196
206000,-149.7844019457521
207000,-165.38446278425133
208000,-149.74893695136436
209000,-152.6689876675872
210000,-180.07215272191058
211000,-159.98321651130328
212000,-154.79914650080954
213000,-167.04779985301766
214000,-146.03441467547017
215000,-130.7346182163502
216000,-110.83892214967845
217000,-94.38730792958954
218000,-88.56543456954205
219000,-95.34744392718846
220000,-107.04975684015741
221000,-94.0447696358234
222000,-91.43045501727497
223000,-107.16906232661736
224000,-98.31221341733439
225000,-101.84922226013975
226000,-106.25734633085763
227000,-112.12770956022284
228000,-70.27610715927158
229000,-68.32247885018279
230000,-38.762851545462674
231000,-73.9465697051536
232000,-74.56993613393573
233000,-53.47124624927685
234000,-42.34743997847612
235000,-67.34320272648463
236000,-63.95909373106524
237000,-51.0732532144208
238000,-58.01529305850376
239000,-35.28680158593265
240000,-42.364392834244704
241000,-47.71369251848379
242000,-33.54891575356272
243000,-37.22895663834281
244000,-32.27759813049469
245000,-27.079387100901688
246000,-34.20754141186133
247000,-29.117526173796723
248000,-43.47244966313847
249000,-47.34425976607265
250000,-46.04445883983828
251000,-44.80248033738521
252000,-47.59538565094382
253000,-35.182152383565764
254000,-35.06970427589048
255000,-35.98764423220502
256000,-39.31317200393323
257000,-19.495644382710687
258000,-25.945135066667103
259000,-32.94235446488251
260000,-31.647487606833216
261000,-29.694442928342532
262000,-31.256295386569086
263000,-30.67271101100212
264000,-30.74255249905358
265000,-31.302972986225075
266000,-22.598802613773763
267000,-14.623076544887562
268000,-14.917780920990793
269000,-13.28578302737409
270000,-33.50717395757244
271000,-35.911343696881765
272000,-30.50311378902283
273000,-11.982591380364116
274000,-10.306168435281283
275000,-9.722505739197327
276000,-9.223593610988976
277000,-12.945282082678876
278000,-17.198708902525684
279000,-16.36725473922758
280000,-14.854612403270156
281000,-17.772848799868484
282000,-17.226524312544914
283000,-13.384473414744127
284000,-9.523831384590205
285000,-9.731220067204795
286000,-8.727020487091476
287000,-11.816257674770098
288000,-24.557858751573804
289000,-26.465497769108293
290000,-11.209501742498023
291000,-14.322674978468015
292000,-10.925838217043095
293000,-8.759382995963007
294000,-13.062332351334764
295000,-11.532176128593072
296000,-9.380647105863241
297000,-13.735634842425906
298000,-12.345671254177443
299000,-10.52882214175072
300000,-9.28405081811577
301000,-8.706089831540108
302000,-7.411965228393119
303000,-10.986964015762133
304000,-15.749758742352501
305000,-10.26192847692472
306000,-8.72674350154643
307000,-9.156012536774423
308000,-10.26729121745331
309000,-9.082908353468074
310000,-7.204356668691972
311000,-6.13877852085454
312000,-11.500649309595627
313000,-8.647841353916842
